ID         Имя                       Приоритет    Время запуска        Состояние       Время CPU      
----------------------------------------------------------------------------------------------------
94720      lab14                     0            2025-11-12 12:58:04  Running         00:00:00.0533250
94718      dotnet                    0            2025-11-12 12:58:03  Running         00:00:00.8385541
94426      mdworker_shared           0            2025-11-12 12:57:40  Running         00:00:00.0707125
94425      mdworker_shared           0            2025-11-12 12:57:40  Running         00:00:00.0941291
94427      mdworker_shared           0            2025-11-12 12:57:40  Running         00:00:00.3331833
94423      mdworker_shared           0            2025-11-12 12:57:40  Running         00:00:00.1114708
94320      mdworker_shared           0            2025-11-12 12:57:39  Running         00:00:00.1265500
94289      mdworker_shared           0            2025-11-12 12:57:33  Running         00:00:00.0559291
94288      mdworker_shared           0            2025-11-12 12:57:33  Running         00:00:00.0579500
94287      mdworker_shared           0            2025-11-12 12:57:33  Running         00:00:00.1153958
94286      mdworker_shared           0            2025-11-12 12:57:33  Running         00:00:00.0671833
94145      mdworker_shared           0            2025-11-12 12:57:17  Running         00:00:00.1084500
94035      mdworker_shared           0            2025-11-12 12:57:16  Running         00:00:00.1291500
94033      mdworker_shared           0            2025-11-12 12:57:16  Running         00:00:00.0991291
94034      mdworker_shared           0            2025-11-12 12:57:16  Running         00:00:00.0732166
93855      mdworker_shared           0            2025-11-12 12:56:01  Running         00:00:00.4044041
93856      mdworker_shared           0            2025-11-12 12:56:01  Running         00:00:00.4258041
93826      com.apple.iClou           0            2025-11-12 12:55:22  Running         00:00:00.2718375
93814      mdworker_shared           0            2025-11-12 12:55:11  Running         00:00:00.2471458
93516      com.apple.WebKi           0            2025-11-12 12:53:47  Running         00:00:00.0804250
92604      dotnet                    0            2025-11-12 12:50:22  Running         00:00:09.5844250
89338      MTLCompilerServ           0            2025-11-12 12:26:37  Running         00:00:00.4814000
89269      MTLCompilerServ           0            2025-11-12 12:23:57  Running         00:00:00.0580000
88638      homeenergyd               0            2025-11-12 12:16:13  Running         00:00:00.3417875
88614      CloudTelemetryS           0            2025-11-12 12:15:56  Running         00:00:00.0940666
88605      CloudTelemetryS           0            2025-11-12 12:15:34  Running         00:00:00.0794750
88604      mbuseragent               0            2025-11-12 12:15:34  Running         00:00:00.0461916
88597      gamecontrollera           0            2025-11-12 12:15:32  Running         00:00:00.1774583
88585      assistant_cdmd            0            2025-11-12 12:15:30  Running         00:00:00.1093750
88577      ndoagent                  0            2025-11-12 12:15:12  Running         00:00:00.1569416
88572      ManagedSettings           0            2025-11-12 12:15:04  Running         00:00:00.0914333
88571      ASConfiguration           0            2025-11-12 12:15:03  Running         00:00:00.0954583
88570      ManagementTestS           0            2025-11-12 12:15:03  Running         00:00:00.0850375
88569      ManagedAppsSubs           0            2025-11-12 12:15:03  Running         00:00:00.0782833
88568      AccountSubscrib           0            2025-11-12 12:15:03  Running         00:00:00.1066750
88567      PasscodeSetting           0            2025-11-12 12:15:02  Running         00:00:00.0668250
88566      LegacyProfilesS           0            2025-11-12 12:15:02  Running         00:00:00.0694166
88564      ScreenSharingSu           0            2025-11-12 12:15:02  Running         00:00:00.0849541
88561      InteractiveLega           0            2025-11-12 12:15:01  Running         00:00:00.0594166
88560      SecuritySubscri           0            2025-11-12 12:15:01  Running         00:00:00.0597708
88559      SafariConfigura           0            2025-11-12 12:15:01  Running         00:00:00.0304500
88558      RemoteManagemen           0            2025-11-12 12:15:01  Running         00:00:00.0824916
88533      privatecloudcom           0            2025-11-12 12:14:53  Running         00:00:00.0908583
87829      MTLCompilerServ           0            2025-11-12 12:04:35  Running         00:00:00.4732708
87817      Яндекс М                  0            2025-11-12 12:04:20  Running         00:00:01.9627541
87816      com.apple.audio           0            2025-11-12 12:04:19  Running         00:00:00.0234791
87813      Яндекс М                  0            2025-11-12 12:04:19  Running         00:00:30.0083000
87811      VTEncoderXPCSer           0            2025-11-12 12:04:19  Running         00:00:00.0702291
87812      VTDecoderXPCSer           0            2025-11-12 12:04:19  Running         00:00:00.1060416
87807      Яндекс М                  0            2025-11-12 12:04:18  Running         00:06:42.1033458
87806      Яндекс М                  0            2025-11-12 12:04:18  Running         00:00:08.9175041
87805      Яндекс М                  0            2025-11-12 12:04:18  Running         00:00:38.4571000
87804      Яндекс М                  0            2025-11-12 12:04:17  Running         00:00:21.9717500
87797      MTLCompilerServ           0            2025-11-12 12:03:46  Running         00:00:00.1007291
87798      MTLCompilerServ           0            2025-11-12 12:03:46  Running         00:00:00.0735000
87794      PowerPreference           0            2025-11-12 12:03:46  Running         00:00:04.9190166
87792      ClassroomSettin           0            2025-11-12 12:03:41  Running         00:00:00.1552416
87791      VPN                       0            2025-11-12 12:03:41  Running         00:00:00.1519208
87790      FollowUpSetting           0            2025-11-12 12:03:41  Running         00:00:00.1422000
87789      FamilySettings            0            2025-11-12 12:03:41  Running         00:00:00.4696916
87788      HeadphoneSettin           0            2025-11-12 12:03:41  Running         00:00:00.1498000
87786      AppleIDSettings           0            2025-11-12 12:03:41  Running         00:00:01.0633500
87785      GeneralSettings           0            2025-11-12 12:03:40  Running         00:00:00.5696375
87784      extensionkitser           0            2025-11-12 12:03:40  Running         00:00:00.0537625
87783      System Settings           0            2025-11-12 12:03:40  Running         00:00:06.3290833
